"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","municipality_id","stop_desc","stop_timezone","wheelchair_boarding","platform_code","vehicle_type"
"137294","","Marttila I (Janakkala)","60.7977361317127","24.590424276238","3","http://165","0","","165","","","0","",""
"137295","","Marttila L (Janakkala)","60.7970785155369","24.5890065615644","3","http://165","0","","165","","","0","",""
"137296","","Sokslampi I","60.7949639117251","24.5845035873673","3","http://165","0","","165","","","0","",""
"137297","","Sokslampi L","60.7945369398608","24.5836122059624","3","http://165","0","","165","","","0","",""
"137298","","Ruhantie P","60.7886931976088","24.5784273148694","3","http://165","0","","165","","","0","",""
"137299","","Ruhantie E","60.7882500451368","24.578506928835","3","http://165","0","","165","","","0","",""
"137300","","Neva I","60.7871262730116","24.5604246457317","3","http://165","0","","165","","","0","",""
"137301","","Neva L","60.7876868289574","24.5588319853195","3","http://165","0","","165","","","0","",""
"137302","","Launostentie th I","60.7834917446825","24.5434542257792","3","http://165","0","","165","","","0","",""
"137303","","Napiala L","60.8318407768922","24.6257650063017","3","http://165","0","","165","","","0","",""
"137304","","Napiala I","60.8316321201862","24.6253450332373","3","http://165","0","","165","","","0","",""
"137305","","Vehmaistentie","60.825919354936","24.619432303477","3","http://165","0","","165","","","0","",""
"137306","","Rehakka P","60.8254070653824","24.6203435961594","3","http://165","0","","165","","","0","",""
"137307","","Eskolantie E","60.8212766513771","24.6227491835862","3","http://165","0","","165","","","0","",""
"137308","","Eskolantie P","60.8225025894923","24.6225994788326","3","http://165","0","","165","","","0","",""
"137309","","TK-Talo P","60.8177991181166","24.6224857010949","3","http://165","0","","165","","","0","",""
"137310","","TK-Talo E","60.8177189001535","24.6224842501463","3","http://165","0","","165","","","0","",""
"137349","","Huunantie L","60.8187327143824","24.6427120068793","3","http://165","0","","165","","","0","",""
"137350","","Huunantie I","60.81921100775","24.6447726126448","3","http://165","0","","165","","","0","",""
"137351","","Eväsojantie L","60.8224328854615","24.6589844588032","3","http://165","0","","165","","","0","",""
"137352","","Eväsojantie I","60.8226146377602","24.6600179698814","3","http://165","0","","165","","","0","",""
"137353","","Moottoritie I","60.8234397781995","24.6646994656932","3","http://165","0","","165","","","0","",""
"137354","","Moottoritie L","60.8240582002671","24.6673629581585","3","http://165","0","","165","","","0","",""
"137355","","Ryttyläntie L","60.8256306445808","24.6712669582787","3","http://165","0","","165","","","0","",""
"137356","","Leppäkoskentie","60.8257002008625","24.6730946124949","3","http://165","0","","165","","","0","",""
"137357","","Karanmäki P","60.821018881938","24.6781092780755","3","http://165","0","","165","","","0","",""
"137358","","Leppäkoskentien th","60.8202010817269","24.6783074635563","3","http://165","0","","165","","","0","",""
"137359","","Toukolankaarre L","60.8143631382315","24.6808935482586","3","http://165","0","","165","","","0","",""
"137360","","Toukolankaarre I","60.8138779739813","24.6819208642861","3","http://165","0","","165","","","0","",""
"137361","","Hallakorpi I","60.8134919972785","24.6866270067739","3","http://165","0","","165","","","0","",""
"137362","","Hallakorpi L","60.813487608564","24.6874645279269","3","http://165","0","","165","","","0","",""
"137363","","Santrantie L","60.8134595166405","24.7004914481292","3","http://165","0","","165","","","0","",""
"137364","","Santrantie I","60.8134533651922","24.7018279981532","3","http://165","0","","165","","","0","",""
"137365","","Eetuntie L","60.8134093059848","24.7097497519641","3","http://165","0","","165","","","0","",""
"137366","","Eetuntie I","60.813404439655","24.7109942429953","3","http://165","0","","165","","","0","",""
"137367","","Mäenpää L","60.8124024902425","24.7165993320544","3","http://165","0","","165","","","0","",""
"137368","","Mäenpää I","60.8120575994833","24.7181207303149","3","http://165","0","","165","","","0","",""
"137415","","Arrankorpi E","60.9493774503471","25.0125725290607","3","http://109","0","","109","","","0","",""
"137428","","Huhdintie E","61.0099382839735","25.0355590147278","3","http://109","0","","109","","","0","",""
"137434","","Jahkolantie E","61.0493060838505","25.0072574148095","3","http://109","0","","109","","","0","",""
"137475","","Kukonkoivu L","60.9850393078358","25.4251905718064","6","http://98","0","","98","","","0","",""
"137476","","Kukonkoivu I","60.9852664311992","25.4275355849292","6","http://98","0","","98","","","0","",""
"137477","","Ruopanlähteentie L","60.9857723519816","25.4373969665805","6","http://98","0","","98","","","0","",""
"137478","","Ruopanlähteentie I","60.9858186608331","25.4385990333558","6","http://98","0","","98","","","0","",""
"137479","","Pelto-Sipilä L","60.9860826254772","25.4452008289774","6","http://98","0","","98","","","0","",""
"137480","","Pelto-Sipilä I","60.9861469782503","25.4467980433636","6","http://98","0","","98","","","0","",""
